annotation_id,image_id,category_id,bbox_x,bbox_y,bbox_w,bbox_h,score
1,1,52,600.557861328125,674.1038818359375,253.1229248046875,482.41015625,0.9449325203895569
2,1,1,157.22125244140625,252.681884765625,204.5579833984375,123.9295654296875,0.9121401309967041
3,1,24,558.6587524414062,71.74412536621094,398.228759765625,406.52235412597656,0.8933386206626892
4,1,45,174.66494750976562,741.081787109375,177.73614501953125,290.387939453125,0.3099742829799652
5,3,52,572.6162109375,632.12255859375,255.8447265625,486.0135498046875,0.9244252443313599
6,3,1,140.68624877929688,241.71177673339844,199.7686767578125,127.87501525878906,0.8879551291465759
7,3,24,529.2210693359375,61.11592102050781,381.537353515625,401.93479919433594,0.8523682951927185
8,3,45,141.85948181152344,702.9852294921875,183.57789611816406,293.994140625,0.5684115886688232
9,4,1,685.292724609375,809.100341796875,130.434814453125,205.570068359375,0.941015899181366
10,4,45,601.8683471679688,253.50559997558594,288.5986328125,163.74635314941406,0.8717731833457947
11,4,24,132.2791748046875,646.591796875,289.17724609375,500.8831787109375,0.8273131847381592
12,4,55,112.69358825683594,151.0320587158203,276.29151916503906,421.21580505371094,0.8156378269195557
13,5,1,182.22677612304688,268.00439453125,127.85784912109375,198.53857421875,0.9453175663948059
14,5,45,93.863037109375,894.526123046875,301.45892333984375,161.947998046875,0.8972192406654358
15,5,55,611.4152221679688,716.4683837890625,285.591796875,440.888916015625,0.8709331750869751
16,5,24,570.840087890625,108.302734375,281.974609375,483.90179443359375,0.8418505191802979
17,8,40,131.26422119140625,219.7812042236328,206.56976318359375,197.76011657714844,0.9374327063560486
18,8,34,625.1094970703125,177.46307373046875,224.619384765625,215.409912109375,0.8623732328414917
19,8,4,590.9512939453125,847.00634765625,280.567138671875,167.900634765625,0.8216373324394226
20,8,49,97.15084838867188,852.15478515625,223.39840698242188,205.302734375,0.7309719920158386
21,9,40,113.85629272460938,210.59344482421875,200.50949096679688,196.3670654296875,0.9136244058609009
22,9,34,596.73779296875,175.67718505859375,219.393310546875,211.38653564453125,0.8719513416290283
23,9,4,563.40478515625,812.4682006835938,284.134521484375,176.1190185546875,0.8430468440055847
24,9,49,63.53424072265625,811.5517578125,227.41549682617188,212.8426513671875,0.7396411895751953
25,10,38,640.366455078125,290.26849365234375,191.238037109375,182.80322265625,0.9644742012023926
26,10,1,641.1738891601562,844.731201171875,188.92041015625,188.299072265625,0.9607097506523132
27,10,23,102.32003784179688,808.9337158203125,241.78018188476562,238.21240234375,0.833466112613678
28,10,56,103.54534912109375,237.14675903320312,410.41943359375,218.51007080078125,0.7809450626373291
29,13,67,476.3761291503906,246.8739013671875,438.1261901855469,275.1241455078125,0.8677980303764343
30,13,3,430.4579772949219,853.6650390625,189.04714965820312,195.013916015625,0.8394226431846619
31,13,21,144.21163940429688,330.97064208984375,193.59417724609375,191.635009765625,0.4822124242782593
32,15,67,48.5675048828125,785.337158203125,440.85479736328125,278.83056640625,0.8984208703041077
33,15,3,361.621826171875,246.6808319091797,182.44158935546875,185.16725158691406,0.7761958241462708
34,15,21,641.9825439453125,796.589111328125,196.0108642578125,192.2132568359375,0.6587039828300476
35,17,3,297.62689208984375,168.14849853515625,185.5755615234375,187.6898193359375,0.8372016549110413
36,17,69,115.3331298828125,587.1468505859375,308.2872314453125,386.8232421875,0.7836328148841858
37,17,72,552.6463623046875,640.11962890625,280.662353515625,301.89794921875,0.6005910634994507
38,19,54,102.3704833984375,168.48464965820312,213.10430908203125,204.20343017578125,0.9207703471183777
39,19,4,608.5576171875,788.0594482421875,276.658935546875,208.888671875,0.8512324690818787
